angle,accuracy,precision,recall,f1_score
90,0.967,1.000,0.896,0.945
72,0.907,0.783,0.979,0.870
54,0.507,0.388,0.938,0.549
36,0.320,0.318,0.979,0.480
18,0.313,0.315,0.979,0.477
