angle,accuracy,precision,recall,f1_score
90,0.9666666666666667,1.0,0.8958333333333334,0.945054945054945
72,0.9066666666666666,0.7833333333333333,0.9791666666666666,0.8703703703703703
54,0.5066666666666667,0.3879310344827586,0.9375,0.548780487804878
36,0.32,0.31756756756756754,0.9791666666666666,0.47959183673469385
18,0.31333333333333335,0.31543624161073824,0.9791666666666666,0.4771573604060914
