angle,accuracy,precision,recall,f1_score
90,0.9,1.0,0.6875,0.8148148148148148
72,0.9066666666666666,0.8148148148148148,0.9166666666666666,0.8627450980392157
54,0.8466666666666667,0.6811594202898551,0.9791666666666666,0.8034188034188035
36,0.49333333333333335,0.3870967741935484,1.0,0.5581395348837209
18,0.32,0.32,1.0,0.48484848484848486
